date,gregorianYear,buddhistEraYear,weekday,eventId,nameZh,nameThai,nameEn,category,thaiLunarText,thaiLunarMonth,thaiLunarDay,thaiLunarHalf,thaiLunarDayInHalf,note
1970-01-01,1970,2513,星期四,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 1,1,23,waning,8,
1970-01-07,1970,2513,星期三,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 14 ค่ำ เดือน 1,1,29,waning,14,
1970-01-15,1970,2513,星期四,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 2,2,8,waxing,8,
1970-01-22,1970,2513,星期四,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 2,2,15,waxing,15,
1970-01-30,1970,2513,星期五,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 2,2,23,waning,8,
1970-02-06,1970,2513,星期五,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 15 ค่ำ เดือน 2,2,30,waning,15,
1970-02-14,1970,2513,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 3,3,8,waxing,8,
1970-02-21,1970,2513,星期六,makha_bucha,萬佛節,มาฆบูชา,Makha Bucha,thai-buddhist-major,ขึ้น 15 ค่ำ เดือน 3,3,15,waxing,15,
1970-02-21,1970,2513,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 3,3,15,waxing,15,
1970-03-01,1970,2513,星期日,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 3,3,23,waning,8,
1970-03-07,1970,2513,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 14 ค่ำ เดือน 3,3,29,waning,14,
1970-03-15,1970,2513,星期日,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 4,4,8,waxing,8,
1970-03-22,1970,2513,星期日,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 4,4,15,waxing,15,
1970-03-30,1970,2513,星期一,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 4,4,23,waning,8,
1970-04-06,1970,2513,星期一,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 15 ค่ำ เดือน 4,4,30,waning,15,
1970-04-11,1970,2513,星期六,sao_ha_candidate,騷哈日候選 / 稍哈日候選,เสาร์ 5,Sao Ha candidate,thai-amulet-auspicious-day,ขึ้น 5 ค่ำ เดือน 5,5,5,waxing,5,按規則產生：星期六 + 泰國陰曆 5 月 + ขึ้น 5 ค่ำ 或 แรม 5 ค่ำ。未做人工作法會或高僧認定。
1970-04-14,1970,2513,星期二,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 5,5,8,waxing,8,
1970-04-21,1970,2513,星期二,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 5,5,15,waxing,15,
1970-04-29,1970,2513,星期三,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 5,5,23,waning,8,
1970-05-05,1970,2513,星期二,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 14 ค่ำ เดือน 5,5,29,waning,14,
1970-05-13,1970,2513,星期三,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 6,6,8,waxing,8,
1970-05-20,1970,2513,星期三,visakha_bucha,衛塞節,วิสาขบูชา,Visakha Bucha,thai-buddhist-major,ขึ้น 15 ค่ำ เดือน 6,6,15,waxing,15,
1970-05-20,1970,2513,星期三,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 6,6,15,waxing,15,
1970-05-28,1970,2513,星期四,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 6,6,23,waning,8,
1970-06-04,1970,2513,星期四,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 15 ค่ำ เดือน 6,6,30,waning,15,
1970-06-12,1970,2513,星期五,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 7,7,8,waxing,8,
1970-06-19,1970,2513,星期五,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 7,7,15,waxing,15,
1970-06-27,1970,2513,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 7,7,23,waning,8,
1970-07-03,1970,2513,星期五,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 14 ค่ำ เดือน 7,7,29,waning,14,
1970-07-11,1970,2513,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 8,8,8,waxing,8,
1970-07-18,1970,2513,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 8,8,15,waxing,15,
1970-07-19,1970,2513,星期日,khao_phansa,入雨安居,เข้าพรรษา,Khao Phansa,thai-buddhist-major,แรม 1 ค่ำ เดือน 8,8,16,waning,1,
1970-07-26,1970,2513,星期日,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 8,8,23,waning,8,
1970-08-02,1970,2513,星期日,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 15 ค่ำ เดือน 8,8,30,waning,15,
1970-08-10,1970,2513,星期一,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 9,9,8,waxing,8,
